id,title,date,type,duration_seconds,video_url,summary_count,vote_count,topics,wer_score
1131,8/1/23 City Council,2023-08-01,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_96c48fc1-c6ab-44b5-877e-011e326ee75c.mp4/playlist.m3u8,38,8,infill development|parking minimums or parking reform,0.2013088863648656
1129,7/5/23 City Council,2023-07-05,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_986b6ed8-6e51-4514-b976-d17d27a84072.mp4/playlist.m3u8,51,5,infill development,0.17268017813323638
1125,6/6/23 City Council,2023-06-06,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_b922a216-1102-4775-89bf-e0f87e664c28.mp4/playlist.m3u8,23,2,,0.33614088820826954
1124,5/16/23 City Council,2023-05-16,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_d87f96e6-2085-4b26-861b-bd2a65b5485e.mp4/playlist.m3u8,69,10,adu (accessory dwelling units)|adus|economic development|housing|infrastructure|infrastructure deficit,0.2360747663551402
1122,5/2/23 City Council,2023-05-02,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_f67feecd-0156-47cb-a20d-0aa1c6070d04.mp4/playlist.m3u8,56,9,groundwater or water supply,0.24759729005829526
1121,4/18/23 City Council,2023-04-18,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_4dcc3574-cf81-4e55-b740-506214d3bdcd.mp4/playlist.m3u8,27,2,affordable housing|parking minimums or parking reform|valley's edge development,0.21478555304740407
1120,4/4/23 City Council,2023-04-04,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_e3c7f723-46bb-403d-a313-76f536841218.mp4/playlist.m3u8,29,3,missing middle housing|valley's edge development,0.175874630037186
1119,3/21/23 City Council,2023-03-21,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_5227a597-7574-4633-8d1a-fd3f06800644.mp4/playlist.m3u8,44,8,parking minimums or parking reform,0.19190798103117748
1118,3/7/23 City Council,2023-03-07,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_955ad4a2-97d0-4a2f-838c-49ceec653590.mp4/playlist.m3u8,53,10,,0.212248901158778
1116,2/21/23 City Council,2023-02-21,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_79c95864-740b-45c0-91f9-16e82d22fc3b.mp4/playlist.m3u8,59,11,groundwater,0.18349468230160895
1113,2/7/23 City Council,2023-02-07,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_91d4aaf4-7131-4aa2-8973-bab1e93c8f06.mp4/playlist.m3u8,51,3,adu (accessory dwelling units)|infrastructure deficit|parking minimums or parking reform|valley's edge development,0.1706926713068076
1102,1/17/23 City Council,2023-01-17,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_8db00e4c-d2ee-4da5-93ae-9aaff45f0314.mp4/playlist.m3u8,56,6,valley's edge development,0.22850543245786636
1101,1/3/23 City Council,2023-01-03,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_a525a8a1-d96e-47c6-b684-13f46c42957b.mp4/playlist.m3u8,42,9,legalizing apartments more broadly|reducing dependence on cars and new developments|using community development to improve the community|valley's edge development,0.2015137929215676
1100,12/20/22 City Council,2022-12-20,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_e32d8757-491a-4071-9dc1-3b33491075ab.mp4/playlist.m3u8,82,15,adu (accessory dwelling units)|parking minimums or parking reform|valley's edge development,0.2339098383895662
1092,12/6/22 City Council,2022-12-06,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_9bbde539-62fe-47e8-b4fc-290c27cf3b8d.mp4/playlist.m3u8,47,7,,0.29495003095427613
1088,11/15/22 City Council,2022-11-15,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_b2417363-e63b-4760-a392-f7567cba5ef2.mp4/playlist.m3u8,40,5,infrastructure deficit,0.18603728679095596
1086,11/1/22 City Council,2022-11-01,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_b95a2229-df54-4a0e-9769-e04f4450fde4.mp4/playlist.m3u8,72,8,,1.0
1083,10/18/22 City Council,2022-10-18,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_7d8953d6-fa7e-4ad5-a1ed-5c98e1a75265.mp4/playlist.m3u8,43,3,affordable housing project,0.9997049857409774
1081,10/4/22 City Council,2022-10-04,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_9e8162fa-76d5-4d1d-b7c9-f437943f6d32.mp4/playlist.m3u8,39,2,,0.183130832893115
